Year,"Word of the Year
(Portugal)",English translation
2009,esmiuçar,to explain in detail; to scrutinise
2010,vuvuzela,vuvuzela
2011,austeridade,austerity
2012,entroikado,Troika-ed
2013,bombeiro,firefighter
2014,corrupção,corruption
2015,refugiado,refugee
2016,geringonça,contraption
2017,incêndios,wildfires
2018,enfermeiro,nurse
2019,violência [doméstica],[domestic] violence
2020,saudade,wistfulness
2021,vacina,vaccine
2022,guerra,war
2023,professor,teacher
